sub_ID,test_age,condition,order,item,correct
071415_05,2.907597536,A,GQ-DCCS-SI,post_5,0
071415_05,2.907597536,A,GQ-DCCS-SI,post_6,0
071615_01,4.481861739,C,GQ-DCCS-SI,training,1
071615_01,4.481861739,C,GQ-DCCS-SI,training,1
071615_01,4.481861739,C,GQ-DCCS-SI,pre_1,1
071615_01,4.481861739,C,GQ-DCCS-SI,pre_2,1
071615_01,4.481861739,C,GQ-DCCS-SI,pre_3,1
071615_01,4.481861739,C,GQ-DCCS-SI,pre_4,1
071615_01,4.481861739,C,GQ-DCCS-SI,pre_5,1
071615_01,4.481861739,C,GQ-DCCS-SI,pre_6,1
071615_01,4.481861739,C,GQ-DCCS-SI,post_1,1
071615_01,4.481861739,C,GQ-DCCS-SI,post_2,1
071615_01,4.481861739,C,GQ-DCCS-SI,post_3,1
071615_01,4.481861739,C,GQ-DCCS-SI,post_4,1
071615_01,4.481861739,C,GQ-DCCS-SI,post_5,1
071615_01,4.481861739,C,GQ-DCCS-SI,post_6,1
071615_02,4.646132786,C,GQ-DCCS-SI,training,1
071615_02,4.646132786,C,GQ-DCCS-SI,training,1
071615_02,4.646132786,C,GQ-DCCS-SI,pre_1,1
071615_02,4.646132786,C,GQ-DCCS-SI,pre_2,1
071615_02,4.646132786,C,GQ-DCCS-SI,pre_3,1
071615_02,4.646132786,C,GQ-DCCS-SI,pre_4,1
071615_02,4.646132786,C,GQ-DCCS-SI,pre_5,1
071615_02,4.646132786,C,GQ-DCCS-SI,pre_6,1
071615_02,4.646132786,C,GQ-DCCS-SI,post_1,0
071615_02,4.646132786,C,GQ-DCCS-SI,post_2,0
071615_02,4.646132786,C,GQ-DCCS-SI,post_3,0
071615_02,4.646132786,C,GQ-DCCS-SI,post_4,1
071615_02,4.646132786,C,GQ-DCCS-SI,post_5,1
071615_02,4.646132786,C,GQ-DCCS-SI,post_6,1
