sub_ID,test_age,condition,order,trial_type,correct
071415_03,4.410677618,C,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_none,1
071415_04,3.608487337,B,GQ-DCCS-SI,control_none,1
071415_04,3.608487337,B,GQ-DCCS-SI,control_all,1
071415_04,3.608487337,B,GQ-DCCS-SI,implicature,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_all,1
071415_04,3.608487337,B,GQ-DCCS-SI,control_none,0
071415_04,3.608487337,B,GQ-DCCS-SI,implicature,1
071415_04,3.608487337,B,GQ-DCCS-SI,control_all,1
071415_04,3.608487337,B,GQ-DCCS-SI,implicature,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_none,0
071415_04,3.608487337,B,GQ-DCCS-SI,implicature,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_all,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_none,0
071415_04,3.608487337,B,GQ-DCCS-SI,implicature,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_none,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_all,1
071415_04,3.608487337,B,GQ-DCCS-SI,control_none,0
071415_04,3.608487337,B,GQ-DCCS-SI,implicature,0
071415_04,3.608487337,B,GQ-DCCS-SI,control_all,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_all,1
071415_05,2.907597536,A,GQ-DCCS-SI,implicature,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_none,0
071415_05,2.907597536,A,GQ-DCCS-SI,implicature,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_all,1
071415_05,2.907597536,A,GQ-DCCS-SI,control_none,0
071415_05,2.907597536,A,GQ-DCCS-SI,implicature,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_none,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_all,1
071415_05,2.907597536,A,GQ-DCCS-SI,control_none,0
071415_05,2.907597536,A,GQ-DCCS-SI,implicature,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_all,1
071415_05,2.907597536,A,GQ-DCCS-SI,control_none,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_all,1
071415_05,2.907597536,A,GQ-DCCS-SI,implicature,0
071415_05,2.907597536,A,GQ-DCCS-SI,control_all,1
071415_05,2.907597536,A,GQ-DCCS-SI,control_none,0
071415_05,2.907597536,A,GQ-DCCS-SI,implicature,0
071615_01,4.481861739,C,GQ-DCCS-SI,implicature,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_none,0
071615_01,4.481861739,C,GQ-DCCS-SI,control_all,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_none,0
071615_01,4.481861739,C,GQ-DCCS-SI,implicature,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_all,1
071615_01,4.481861739,C,GQ-DCCS-SI,control_none,0
